group,names,scores,logfoldchanges,pvals,pvals_adj
0,LINC-PINT,1.9880732,,0.04695041468921988,0.09380702235608368
0,CSN2,1.9657539,,0.049497343698908326,0.09840426182685552
0,HIST1H2BM,1.9399738,,0.05257324353893402,0.10369476043182252
0,AF230666.2,1.9355186,,0.0531084609608024,0.1045442144897685
0,AC012358.1,1.9180387,,0.05530278448282048,0.10843683231925584
0,AL158212.2,1.8978113,,0.05789270725785826,0.1130716938630044
0,EPGN,1.8702614,,0.061633390142187515,0.11979278939200684
0,ZNF696,1.8603826,,0.06301014728561233,0.12223112955501908
0,AC079768.4,1.8334326,,0.06692989269994,0.12958352894470476
0,HIST1H2AH,1.8168874,,0.06941746926216563,0.134269766464537
0,AC073140.2,1.7851088,,0.0744396924786936,0.14370597003608804
0,ZBTB8B,1.7725694,,0.07650246470848233,0.14754573714268532
0,AL160006.1,1.7433418,,0.08146524077576524,0.15648239078216344
0,S100A9,1.7428703,,0.08152732559750715,0.15648239078216344
0,MIR3142HG,1.7405764,,0.0819622570224202,0.1570158180506134
0,FNDC11,1.7189713,,0.08581795536948597,0.1620735701029008
0,NAT8L,1.7154167,,0.08646497024515239,0.16306625348698656
0,AL135925.1,1.7150662,,0.08650664747484636,0.16306625348698656
0,MCF2L2,1.7146624,,0.08659591165521695,0.16308081291001308
0,AC092295.2,1.7061458,,0.08818254344753491,0.165912593504299
0,AP006545.1,1.7019918,,0.08895797857251743,0.16721424543706284
0,DCT,1.6348928,,0.10227276848207963,0.18939401570755485
0,AC083837.1,1.6239026,,0.10459813153169048,0.19352105741293338
0,AL136141.1,1.6167067,,0.10614128584544874,0.19619461339269637
0,AL035078.1,1.538466,,0.12413014899141182,0.22755297706949923
0,AC008391.1,1.532764,,0.12552447370141248,0.22989830348244042
0,LRP8,1.5158359,,0.12975555355270182,0.2369964448451175
0,AC127002.2,1.5132878,,0.1304031103474723,0.2379618801961173
0,MRLN,1.5096312,,0.1313486864127635,0.23946889045171105
0,AC137561.1,1.4982585,,0.13427924463688673,0.24427853982630318
0,AL031595.2,1.497921,,0.13435319690446676,0.24427853982630318
0,AL022322.2,1.4895027,,0.13655103560318194,0.24804911099578916
0,AGBL4,1.4562316,,0.14553023345453645,0.26388074969090924
0,AC002460.2,1.4395145,,0.15020671024817317,0.2721136055220528
0,LINC01424,1.4222276,,0.15516960499667365,0.2755000817310712
0,CNTF,1.4204538,,0.15567901379255972,0.2755000817310712
0,AC114488.1,1.4195002,,0.15595729604527442,0.2755000817310712
0,CCNI2,1.4076443,,0.1594334663241672,0.2782433967262953
0,AC090186.1,1.3842366,-6.8947983,0.16648780076011052,0.2890413207640808
0,B3GNT4,1.3635762,,0.17289268169561822,0.29886375401144033
0,HIST1H3C,1.3518618,,0.17660560720624266,0.30423015883934995
0,APOE,1.343216,,0.17934114190357026,0.3086766642058008
0,CHIT1,1.3305782,,0.18351676582470344,0.3150058602990097
0,U51244.1,1.3146027,,0.18884230625016502,0.3228073611113932
0,INPP5D,1.2875615,,0.19806612573126245,0.33770865427325225
0,SNRK-AS1,1.2819766,,0.2000337521916142,0.34016383748789436
0,C1QTNF3,1.2593368,,0.20807830266606717,0.3529742199594015
0,LINC00942,1.2259315,-3.0802495,0.2204206398204638,0.37296216551685923
0,AC006064.5,1.2120576,-3.6359859,0.22567207348204896,0.3808811366785636
0,MPZ,1.210536,,0.22624340771329404,0.38152345314214847
0,AC012414.5,1.1984205,-2.6090941,0.23093265285288067,0.3887755098533345
0,AL158071.5,1.1907157,,0.2339447281036027,0.3931844169808449
0,SMIM10L2B,1.1809034,-5.366897,0.23781464569558608,0.39868339596913005
0,AC006435.2,1.1793425,-1.9259539,0.23844887561973208,0.39907761610006803
0,SPDYE1,1.1793425,-1.9216865,0.23844887561979067,0.39907761610006803
0,UNC5CL,1.1736964,-3.699502,0.24068957406680414,0.4021546768033486
0,SLC22A31,1.1642962,-2.346939,0.24448172869493526,0.4078093889823774
0,KRT31,1.1546533,-5.20918,0.24841085152819584,0.4140180858803264
0,GDF5,1.0876092,-2.2329867,0.276935549037725,0.45736672012836493
0,AC138028.2,1.0815428,-5.407412,0.27962978786496967,0.4614352935065506
0,AC027601.4,1.074221,-2.399863,0.2828901100206466,0.46643051940749647
0,AC234031.1,1.0662941,-2.599465,0.28645854978785557,0.47153670746972104
0,AC004923.4,1.0657037,-2.355897,0.28672156434971935,0.4715815203120384
0,LINC01623,1.0341262,-2.0000794,0.3012303053435989,0.4930391257553694
0,QRICH2,1.0318308,-4.1131787,0.3022994588932265,0.4939533642046185
0,PCP4,1.0298849,-2.6561928,0.30321735742390676,0.4949022711527952
0,AC006445.3,1.0224626,-1.8666874,0.30672400021042723,0.4949022711527952
0,LINC01341,1.0187687,-2.3411114,0.30846112713355084,0.4949022711527952
0,AC010632.1,1.0133163,-2.0429108,0.3110667454735315,0.4949022711527952
0,CSN3,1.0081538,,0.31351744629806666,0.4949022711527952
0,IBA57-DT,1.0066986,-1.3562137,0.31423182832145813,0.4949022711527952
0,RC3H1-IT1,1.0043032,-1.7011436,0.3153822398747364,0.4949022711527952
0,FCRL1,1.0,-1.8317765,0.317479806944485,0.4949022711527952
0,FAM30A,1.0,-1.8317765,0.317479806944485,0.4949022711527952
0,CLDN18,1.0,-1.8317764,0.3174798069445181,0.4949022711527952
0,POU3F1,0.9968343,,0.3189741315218183,0.4968444416227699
0,AL445623.2,0.99296916,-2.0295017,0.32087639261530015,0.4986424127665892
0,AC116609.2,0.9910448,-1.3495237,0.32181833990460473,0.4997179191065291
0,RASA4B,0.9897629,-1.5180721,0.3224444042018868,0.5003016356895064
0,LINC01910,0.9873732,-1.6071858,0.32360778638445253,0.5017174982704691
0,AP001178.3,0.98186135,-1.5949388,0.32632187498617937,0.505142221340835
0,AC092171.5,0.9796378,-3.0341523,0.32740408961420386,0.5064255059771136
0,LINC00342,0.9731047,,0.33062861399812893,0.5110179505380663
0,GRIK4,0.9455161,-1.7138803,0.3445386022485364,0.5306062898745969
0,AL031673.1,0.92714643,-1.382999,0.3539949577274111,0.543771056416914
0,STARD7-AS1,0.9223645,-3.2657664,0.35647183438656793,0.5468687472039135
0,AC232271.1,0.91483414,-1.4063362,0.3604157489120472,0.5523613010146318
0,AL442071.1,0.9097802,-1.5696014,0.36308955896622797,0.5551828118749663
0,AC087501.4,0.8978397,-1.3490766,0.3694042861422081,0.5635458217272435
0,AC009065.8,0.8948666,-1.5322657,0.37100609675872487,0.5651273370277606
0,AL031733.2,0.8788003,-1.2047269,0.3796446564502216,0.5776144494835377
0,AC008906.1,0.87721443,-1.3221344,0.3804997641911353,0.5778280397739336
0,EOMES,0.8759506,-0.9611546,0.3811860116993242,0.5784309737470776
0,AC027796.4,0.86707574,-1.358041,0.3860279604632212,0.5853342842505249
0,AP002793.1,0.86188513,-1.4414169,0.3888927178279932,0.5887853411476052
0,Z99916.1,0.85541576,-1.4490536,0.392445706000482,0.5937151376709259
0,SPOCD1,0.84228534,-1.0331719,0.3997569496101264,0.6024972865261891
0,AC087362.2,0.8373244,-1.3995403,0.402543951197592,0.605329249921191
0,AC025165.1,0.83363515,-0.91021407,0.4046193801360629,0.6061359978287981
0,TAS2R50,0.83363515,-1.0776125,0.40461938013611276,0.6061359978287981
0,AC107222.2,0.83363515,-1.2882621,0.40461938013618315,0.6061359978287981
